exercise,class,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
shoulder_abduction,correct,0.3052964210510254,0.3003045618534088,-0.5883445143699646,0.9996182918548584,0.3242168724536896,0.2714233994483948,-0.5489853024482727,0.9978455305099487,0.33289042115211487,0.27297577261924744,-0.5491822957992554,0.9981957077980042,0.3412424921989441,0.27517351508140564,-0.5492759346961975,0.9977998733520508,0.30077871680259705,0.26829370856285095,-0.5509315729141235,0.9986225962638855,0.294320672750473,0.2671903967857361,-0.5508836507797241,0.998919665813446,0.28794124722480774,0.2664255201816559,-0.5511802434921265,0.9986893534660339,0.3550741374492645,0.2994233965873718,-0.3003467321395874,0.997254490852356,0.2832978665828705,0.2868557870388031,-0.2955321967601776,0.9987292885780334,0.3228398859500885,0.3382047712802887,-0.4969211220741272,0.9993597269058228,0.2894269824028015,0.3289683759212494,-0.49649959802627563,0.9994155168533325,0.4291320741176605,0.4593268632888794,-0.14572854340076447,0.9997557401657104,0.19694772362709045,0.4863053262233734,-0.16114601492881775,0.9993461966514587,0.5908862352371216,0.46250301599502563,-0.08392054587602615,0.9961061477661133,0.14735493063926697,0.7361421585083008,-0.16484194993972778,0.9894037842750549,0.7646586298942566,0.49033862352371216,-0.2461635172367096,0.9823064804077148,0.11940078437328339,0.9535062313079834,-0.3968098759651184,0.950574517250061,0.8169584274291992,0.49948981404304504,-0.2942637801170349,0.9537016749382019,0.10341845452785492,1.0131781101226807,-0.4452062249183655,0.8792247772216797,0.8218876719474792,0.4999464452266693,-0.3753543496131897,0.9621274471282959,0.11806055158376694,1.0217370986938477,-0.531032145023346,0.8972277045249939,0.8018503189086914,0.5009282827377319,-0.29019057750701904,0.9647278785705566,0.12819263339042664,0.997858464717865,-0.4360158443450928,0.897198498249054,0.3685315251350403,0.9534209370613098,-0.037689998745918274,0.9318222403526306,0.2186656892299652,0.9533818364143372,0.03890644758939743,0.896555483341217,0.34939831495285034,1.3186918497085571,-0.043600525707006454,0.07915706932544708,0.1966722309589386,1.3028442859649658,0.026059966534376144,0.10803958028554916,0.3432958126068115,1.64719820022583,0.304972380399704,0.007500228472054005,0.19563257694244385,1.6266014575958252,0.25773680210113525,0.012976270169019699,0.348694771528244,1.6943376064300537,0.3196694254875183,0.0059540653601288795,0.19593480229377747,1.6699063777923584,0.27052563428878784,0.020913273096084595,0.31010788679122925,1.7412728071212769,-0.011819761246442795,0.004426395054906607,0.20981638133525848,1.728223204612732,-0.07632775604724884,0.011926572769880295
shoulder_abduction,correct,0.30500397086143494,0.29936233162879944,-0.5903884768486023,0.9996206760406494,0.32384127378463745,0.27055132389068604,-0.5501822233200073,0.997825026512146,0.3325556814670563,0.27206459641456604,-0.5504133105278015,0.998169481754303,0.3409636914730072,0.27424192428588867,-0.550552248954773,0.997762143611908,0.3002983331680298,0.26763156056404114,-0.5534639954566956,0.9986250996589661,0.29379063844680786,0.26663270592689514,-0.5534124970436096,0.9989247918128967,0.2873249053955078,0.2659679055213928,-0.5537053346633911,0.9987011551856995,0.3549783229827881,0.2985517680644989,-0.3021371066570282,0.9971857070922852,0.2829289436340332,0.2864575982093811,-0.29698243737220764,0.998742401599884,0.3227192461490631,0.3371517062187195,-0.4983251690864563,0.9993544816970825,0.2892366051673889,0.3281051218509674,-0.49914294481277466,0.9994190335273743,0.4291118085384369,0.45850446820259094,-0.14699915051460266,0.9997501969337463,0.19698156416416168,0.48595014214515686,-0.15905556082725525,0.9993618130683899,0.5905501842498779,0.4634365737438202,-0.08354701101779938,0.9963768720626831,0.14704005420207977,0.7356053590774536,-0.1566467434167862,0.9899286031723022,0.7644183039665222,0.4928676187992096,-0.24825036525726318,0.9834170341491699,0.11909113079309464,0.9537943005561829,-0.3961388170719147,0.9529789686203003,0.8161224126815796,0.5020843148231506,-0.2967150807380676,0.9553126692771912,0.10333666950464249,1.0144041776657104,-0.4453292787075043,0.8837077021598816,0.8213413953781128,0.502345621585846,-0.3775639533996582,0.963433027267456,0.11805316060781479,1.0229278802871704,-0.5315821766853333,0.900974452495575,0.8016855120658875,0.5031335353851318,-0.2921852171421051,0.9662802219390869,0.12801100313663483,0.9995561242103577,-0.4356573522090912,0.9010359048843384,0.3684215247631073,0.953369140625,-0.03965317830443382,0.9339643120765686,0.2182466983795166,0.9534155130386353,0.04091918468475342,0.8995302319526672,0.3479159474372864,1.3189061880111694,-0.043157778680324554,0.07613901048898697,0.195107102394104,1.3028289079666138,0.029892753809690475,0.10501517355442047,0.3405441343784332,1.647311806678772,0.3217403292655945,0.007142921909689903,0.19367153942584991,1.6265949010849,0.2789284586906433,0.012382532469928265,0.34589633345603943,1.6944103240966797,0.3372345268726349,0.005669892765581608,0.193944051861763,1.6698799133300781,0.2913828194141388,0.02015477418899536,0.3068717122077942,1.7413671016693115,0.00378885748796165,0.004223827738314867,0.20799648761749268,1.7283316850662231,-0.05768335610628128,0.011496420949697495
shoulder_abduction,correct,0.3042230010032654,0.3004523813724518,-0.579200804233551,0.999613881111145,0.323185533285141,0.2708720564842224,-0.5417731404304504,0.9977834224700928,0.3318388760089874,0.27228647470474243,-0.5419949889183044,0.9981392025947571,0.34026607871055603,0.2743660509586334,-0.5421124696731567,0.9977228045463562,0.29990845918655396,0.2679876983165741,-0.538551926612854,0.9985939860343933,0.2934376299381256,0.26689329743385315,-0.5385527014732361,0.9989027976989746,0.2869628965854645,0.26618582010269165,-0.5388854146003723,0.9986752867698669,0.35435551404953003,0.2986045777797699,-0.29896020889282227,0.9971592426300049,0.2826676666736603,0.28646716475486755,-0.27146095037460327,0.9987217783927917,0.32145917415618896,0.3389512300491333,-0.4886135458946228,0.9993368983268738,0.2883278727531433,0.330268919467926,-0.4815952777862549,0.9994049072265625,0.4288310110569,0.4582315683364868,-0.14834722876548767,0.9997431635856628,0.19683900475502014,0.48568838834762573,-0.11515351384878159,0.9993338584899902,0.5906476378440857,0.4612131714820862,-0.10643038898706436,0.9965842366218567,0.14704516530036926,0.7336748838424683,-0.07035006582736969,0.9898490309715271,0.7663105130195618,0.4891405999660492,-0.29096585512161255,0.9842536449432373,0.1193402037024498,0.9536182284355164,-0.2837747633457184,0.9534777402877808,0.8182085752487183,0.49745941162109375,-0.34183043241500854,0.9566296339035034,0.10489130020141602,1.0143159627914429,-0.3277187645435333,0.8842880725860596,0.8239571452140808,0.49872997403144836,-0.4225715696811676,0.9645654559135437,0.12045462429523468,1.0227389335632324,-0.411059707403183,0.901422381401062,0.80436772108078,0.4995388686656952,-0.3343701660633087,0.9674633741378784,0.12980183959007263,0.9995083212852478,-0.32180970907211304,0.9012725353240967,0.3685326874256134,0.9548026323318481,-0.04990062490105629,0.9361530542373657,0.21740758419036865,0.9544621706008911,0.05101565644145012,0.9024778604507446,0.34779736399650574,1.323796033859253,-0.10459109395742416,0.08204234391450882,0.19503583014011383,1.3095110654830933,0.02008657529950142,0.11633704602718353,0.34083908796310425,1.6490317583084106,0.30459803342819214,0.007947218604385853,0.1936083734035492,1.631697177886963,0.275881826877594,0.014570803381502628,0.3465958535671234,1.6952576637268066,0.3276675045490265,0.006242295261472464,0.1941516250371933,1.6747559309005737,0.28913626074790955,0.023588888347148895,0.3070536255836487,1.7458759546279907,0.00045867013977840543,0.0045816414058208466,0.2077811062335968,1.73486328125,-0.04725920408964157,0.013130252249538898
shoulder_abduction,correct,0.30386653542518616,0.30087098479270935,-0.5754567980766296,0.9996103048324585,0.3228662610054016,0.2709498107433319,-0.5384317636489868,0.9977620244026184,0.331479012966156,0.2723497748374939,-0.53864586353302,0.9981236457824707,0.3399104177951813,0.2744673788547516,-0.5387517213821411,0.9977031350135803,0.2996860146522522,0.26810333132743835,-0.5340730547904968,0.9985766410827637,0.29321780800819397,0.26696765422821045,-0.5340830087661743,0.9988906383514404,0.2867168188095093,0.26624804735183716,-0.5344232320785522,0.9986621141433716,0.3539727032184601,0.2986561954021454,-0.2961832284927368,0.9971503019332886,0.2824024558067322,0.28646963834762573,-0.2660774886608124,0.9987128376960754,0.32088953256607056,0.3396158814430237,-0.48487716913223267,0.9993254542350769,0.28782302141189575,0.33105677366256714,-0.4767376482486725,0.999396026134491,0.42854800820350647,0.4578879475593567,-0.1484597772359848,0.9997379183769226,0.19668175280094147,0.48546740412712097,-0.10870840400457382,0.9993095397949219,0.5905401110649109,0.46002426743507385,-0.10829728841781616,0.9967696666717529,0.14705219864845276,0.7323917150497437,-0.0616854727268219,0.9897860288619995,0.7666134238243103,0.48728832602500916,-0.2952975630760193,0.9850338101387024,0.11960631608963013,0.9532850980758667,-0.27289697527885437,0.9539392590522766,0.818718433380127,0.49570366740226746,-0.34619754552841187,0.9579149484634399,0.10600091516971588,1.0142509937286377,-0.31727275252342224,0.8848258852958679,0.824670672416687,0.49709552526474,-0.4272843301296234,0.9656641483306885,0.12203564494848251,1.0226207971572876,-0.40051189064979553,0.9018400311470032,0.8049790263175964,0.4977215826511383,-0.3388292193412781,0.9685928821563721,0.13106608390808105,0.9993523955345154,-0.31091755628585815,0.9015119075775146,0.3687064051628113,0.9557106494903564,-0.052700240164995193,0.938275158405304,0.21690388023853302,0.9550637006759644,0.05377586930990219,0.9053292870521545,0.34770724177360535,1.326341986656189,-0.1102432832121849,0.08731390535831451,0.19498015940189362,1.3126903772354126,0.01358448714017868,0.1264135092496872,0.3409861922264099,1.6498876810073853,0.30074363946914673,0.008651457726955414,0.1935470998287201,1.6343363523483276,0.274170845746994,0.016486486420035362,0.3468998372554779,1.6955876350402832,0.32665133476257324,0.006731281988322735,0.19425423443317413,1.6772511005401611,0.28775739669799805,0.02653760090470314,0.30719998478889465,1.748226523399353,-0.0015913480892777443,0.004896789789199829,0.20766666531562805,1.7382310628890991,-0.0459672287106514,0.01456719171255827
shoulder_abduction,correct,0.30355703830718994,0.30141326785087585,-0.5729050636291504,0.9996072053909302,0.3226048946380615,0.2711389362812042,-0.5360092520713806,0.9977423548698425,0.3311954140663147,0.27249419689178467,-0.5362192988395691,0.9981086254119873,0.33963432908058167,0.2745625376701355,-0.5363221764564514,0.9976850152015686,0.2994733452796936,0.2682885229587555,-0.5314317941665649,0.9985611438751221,0.29300373792648315,0.2670966386795044,-0.5314429998397827,0.9988794922828674,0.2864767909049988,0.26635169982910156,-0.5317844748497009,0.9986505508422852,0.35368770360946655,0.298693984746933,-0.29362043738365173,0.9971427321434021,0.28215575218200684,0.2864736318588257,-0.26342955231666565,0.9987038373947144,0.3204205632209778,0.3403274416923523,-0.48216065764427185,0.9993155598640442,0.2873845398426056,0.3318435251712799,-0.4738673269748688,0.9993882775306702,0.42832908034324646,0.4576754570007324,-0.14717961847782135,0.9997328519821167,0.1965377926826477,0.48520761728286743,-0.10753373056650162,0.999288022518158,0.5904441475868225,0.45925071835517883,-0.10742191970348358,0.9969369769096375,0.14705893397331238,0.7312053442001343,-0.06601710617542267,0.9897400736808777,0.7666577696800232,0.4860492944717407,-0.295448899269104,0.985739529132843,0.11974693834781647,0.9526210427284241,-0.28463122248649597,0.9543733596801758,0.8188971281051636,0.49455004930496216,-0.34679871797561646,0.959078311920166,0.10652033239603043,1.0141324996948242,-0.33115139603614807,0.8853523135185242,0.8248883485794067,0.4959922730922699,-0.4281812608242035,0.9666604995727539,0.12278636544942856,1.022456407546997,-0.41477832198143005,0.9022618532180786,0.8050926327705383,0.49655821919441223,-0.3392178416252136,0.969618558883667,0.13168023526668549,0.9988628625869751,-0.3231622576713562,0.9017658233642578,0.3687620759010315,0.9562792181968689,-0.05328679829835892,0.9401006102561951,0.21637360751628876,0.9553118944168091,0.05434935539960861,0.9077625274658203,0.34762483835220337,1.3276287317276,-0.107871875166893,0.09183850884437561,0.19467584788799286,1.3139280080795288,0.011066722683608532,0.13527879118919373,0.34089794754981995,1.650285005569458,0.29867255687713623,0.009268338792026043,0.19350405037403107,1.6354575157165527,0.2728777527809143,0.018146418035030365,0.3467678427696228,1.6956837177276611,0.32577139139175415,0.007154752034693956,0.19416676461696625,1.678308367729187,0.2864043116569519,0.029045984148979187,0.30719006061553955,1.7493113279342651,-0.0028483918868005276,0.005174282938241959,0.20724911987781525,1.73956298828125,-0.04676536098122597,0.015809867531061172
shoulder_abduction,correct,0.30355408787727356,0.3014622926712036,-0.5758143663406372,0.9995978474617004,0.3226570188999176,0.27135246992111206,-0.5385044813156128,0.9976767301559448,0.33125659823417664,0.27272382378578186,-0.5387063026428223,0.9980458617210388,0.33968275785446167,0.27478450536727905,-0.538807213306427,0.9976136684417725,0.299432635307312,0.2683959901332855,-0.5341945886611938,0.9985281825065613,0.29295334219932556,0.26718398928642273,-0.5342130064964294,0.9988521337509155,0.28641459345817566,0.2664186954498291,-0.5345510244369507,0.9986258745193481,0.35371509194374084,0.29866474866867065,-0.2957029938697815,0.9970224499702454,0.28208932280540466,0.2862209677696228,-0.26763924956321716,0.9986785650253296,0.32041701674461365,0.34052449464797974,-0.4851961135864258,0.9992882013320923,0.2873973250389099,0.3319622576236725,-0.4775606691837311,0.9993683695793152,0.4281094968318939,0.457001268863678,-0.14521609246730804,0.9997186660766602,0.1965446025133133,0.48450377583503723,-0.11719667911529541,0.9992658495903015,0.5898115038871765,0.45846307277679443,-0.09579860419034958,0.9970662593841553,0.14621025323867798,0.7290571331977844,-0.11668320745229721,0.9899244904518127,0.766532301902771,0.4847762882709503,-0.2564724087715149,0.9862992763519287,0.11949392408132553,0.9525429606437683,-0.3493199646472931,0.9550913572311401,0.8187936544418335,0.49329063296318054,-0.30270299315452576,0.9597415924072266,0.10565605014562607,1.014106273651123,-0.399404376745224,0.8860650062561035,0.8248186111450195,0.49537548422813416,-0.3827524781227112,0.9672289490699768,0.12198136001825333,1.02260160446167,-0.4870239794254303,0.9028940796852112,0.80473393201828,0.4965253472328186,-0.2996777594089508,0.9703140258789062,0.13088151812553406,0.9986706972122192,-0.39010196924209595,0.9024495482444763,0.36743223667144775,0.9561537504196167,-0.05295597389340401,0.9404135346412659,0.2134477198123932,0.9544174075126648,0.05400361865758896,0.9077168107032776,0.34103575348854065,1.3260899782180786,-0.06085441634058952,0.0929688960313797,0.19035379588603973,1.309009313583374,0.012903787195682526,0.13906659185886383,0.33310872316360474,1.649920105934143,0.2960062623023987,0.009294806979596615,0.1885710060596466,1.6300526857376099,0.26438531279563904,0.01808936335146427,0.3382256329059601,1.6955928802490234,0.3148743510246277,0.007008661050349474,0.1891019642353058,1.673296332359314,0.2760859727859497,0.029200270771980286,0.299792617559433,1.7470672130584717,-0.018294597044587135,0.005131627433001995,0.2021181285381317,1.7323405742645264,-0.06047491356730461,0.01585375890135765
